FIPS,County,PCP,PCP per 100k,PCP Ratio,PCP z-score,Outcomes,OutcomesRange,Factors,FactorsRange,"Population
Est.
(July 2021*)","Unduplicated
Members**","% Population
Enrolled in
SoonerCare",Expenditures,Annual Per Capita,Monthly Avg Per Member
40073,Kingfisher,7,46.04052,2172:1,0.2235223467,-0.468561788,-0.72 to -0.4,-0.18023499,-0.22 to 0,"15,204","4,270",28%,"21,199,419","1,394",414
40075,Kiowa,3,35.671820000000004,2803:1,0.5095552963,0.7899204286,0.56 to 0.95,0.471123497,0.23 to 0.47,"8,410","3,711",44%,"18,768,455","2,232",421
40077,Latimer,2,21.21566,4714:1,0.9083458995,0.5943668354,0.56 to 0.95,0.8268194115,0.75 to 1.11,"9,427","4,945",52%,"28,544,299","3,028",481
40079,Le Flore,14,28.880270000000003,3463:1,0.696908326,0.8118129718,0.56 to 0.95,0.6927474241,0.47 to 0.75,"48,476","20,202",42%,"97,154,360","2,004",401
40081,Lincoln,8,23.648349999999997,4229:1,0.8412371703,0.1955659936,-0.1 to 0.21,0.2464417972,0.23 to 0.47,"33,829","11,605",34%,"48,919,710","1,446",351
40083,Logan,2,3.9304300000000003,25443:1,1.385179624,-0.476281793,-0.72 to -0.4,-0.16319843,-0.22 to 0,"50,885","9,862",19%,"47,506,910",934,401
40085,Love,5,48.942829999999994,2043:1,0.1434583863,0.2724331127,0.22 to 0.56,0.2933501653,0.23 to 0.47,"10,216","3,451",34%,"13,290,427","1,301",321
40087,McClain,19,43.6621,2290:1,0.2891337648,-0.37450967,-0.4 to -0.11,-0.165063412,-0.22 to 0,"43,516","11,805",27%,"47,510,986","1,092",335
40089,McCurtain,14,45.33092,2206:1,0.2430975145,1.4458896917,1.42 to 2,0.9422393045,0.75 to 1.11,"30,884","15,334",50%,"68,065,405","2,204",370
40091,McIntosh,2,10.39231,9623:1,1.2069209454,0.7968293427,0.56 to 0.95,0.9294825145,0.75 to 1.11,"19,245","8,256",43%,"46,564,642","2,420",470
40093,Major,4,52.164840000000005,1917:1,0.0545754755,-0.148388024,-0.4 to -0.11,0.0983958689,0 to 0.23,"7,668","1,997",26%,"7,350,024",959,307
40095,Marshall,4,25.65089,3899:1,0.7859946341,0.371252652,0.22 to 0.56,0.5384299637,0.47 to 0.75,"15,594","6,357",41%,"27,758,870","1,780",364
40097,Mayes,14,35.75168,2797:1,0.5073522681,0.7275059344,0.56 to 0.95,0.3815301272,0.23 to 0.47,"39,159","15,807",40%,"90,347,642","2,307",476
40099,Murray,4,29.15877,3430:1,0.6892256005,0.2816969721,0.22 to 0.56,0.5021999945,0.47 to 0.75,"13,718","4,447",32%,"24,217,566","1,765",454
40101,Muskogee,30,45.35422,2205:1,0.2424547355,0.9477593847,0.56 to 0.95,0.4673438794,0.23 to 0.47,"66,146","30,064",45%,"175,545,997","2,654",487
40103,Noble,5,45.7331,2187:1,0.2320027322,0.0061035172,-0.1 to 0.21,-0.061862852,-0.22 to 0,"10,933","3,069",28%,"19,573,130","1,790",531
40105,Nowata,1,10.74922,9303:1,1.1970751268,0.2383923117,0.22 to 0.56,0.29008047,0.23 to 0.47,"9,303","3,661",39%,"19,327,232","2,078",440
40107,Okfuskee,1,8.930959999999999,11197:1,1.2472339319,1.2536458658,0.95 to 1.42,0.9822613505,0.75 to 1.11,"11,197","5,042",45%,"33,972,659","3,034",561
40109,Oklahoma,649,81.26976,1230:1,-0.748318741,0.1606880753,-0.1 to 0.21,-0.088487368,-0.22 to 0,"798,575","278,624",35%,"1,191,059,873","1,491",356
40111,Okmulgee,11,29.85642,3349:1,0.6699801346,1.0598698603,0.95 to 1.42,0.6295044972,0.47 to 0.75,"36,843","15,213",41%,"102,388,912","2,779",561
40113,Osage,8,17.47793,5722:1,1.0114554813,0.0434241356,-0.1 to 0.21,0.2959278195,0.23 to 0.47,"45,772","6,342",14%,"33,136,878",724,435
40115,Ottawa,14,46.143699999999995,2167:1,0.2206757534,1.0372000058,0.95 to 1.42,0.4004478648,0.23 to 0.47,"30,340","15,125",50%,"72,439,714","2,388",399
40117,Pawnee,4,25.41135,3935:1,0.7926027763,0.4704274355,0.22 to 0.56,0.3360482462,0.23 to 0.47,"15,741","6,263",40%,"33,482,259","2,127",446
40119,Payne,38,46.34768,2158:1,0.2150488274,-0.190478296,-0.4 to -0.11,-0.05035329,-0.22 to 0,"81,989","19,825",24%,"103,053,586","1,257",433
40121,Pittsburg,19,43.54502,2296:1,0.292363503,0.6357731673,0.56 to 0.95,0.440091192,0.23 to 0.47,"43,633","16,605",38%,"88,105,964","2,019",442
40123,Pontotoc,27,70.74915,1413:1,-0.45809516,0.5108682251,0.22 to 0.56,-0.030461556,-0.22 to 0,"38,163","13,980",37%,"95,323,514","2,498",568
40125,Pottawatomie,22,30.12914,3319:1,0.6624566409,0.4242172234,0.22 to 0.56,0.1994529608,0 to 0.23,"73,019","28,576",39%,"141,532,078","1,938",413
40127,Pushmataha,2,18.492829999999998,5408:1,0.9834582474,1.43328599,1.42 to 2,0.9744878807,0.75 to 1.11,"10,815","4,616",43%,"23,051,372","2,131",416
40129,Roger Mills,2,59.06675,1693:1,-0.135821855,0.4905714563,0.22 to 0.56,0.0987305219,0 to 0.23,"3,386",963,28%,"3,069,983",907,266
40131,Rogers,36,37.230470000000004,2686:1,0.4665581274,-0.444880883,-0.72 to -0.4,-0.0932434,-0.22 to 0,"96,695","22,181",23%,"115,247,118","1,192",433
40133,Seminole,8,33.94577,2946:1,0.5571703944,1.153876938,0.95 to 1.42,0.8809268788,0.75 to 1.11,"23,567","10,782",46%,"62,574,958","2,655",484
40135,Sequoyah,14,35.435860000000005,2822:1,0.516064486,0.9685194753,0.95 to 1.42,0.6741400528,0.47 to 0.75,"39,508","18,962",48%,"95,116,946","2,408",418
40137,Stephens,17,39.41663,2537:1,0.4062500868,0.3605674125,0.22 to 0.56,0.3013537349,0.23 to 0.47,"43,129","16,102",37%,"72,931,498","1,691",377
40139,Texas,8,38.34172,2608:1,0.43590286,-0.293950051,-0.4 to -0.11,0.1649927477,0 to 0.23,"20,865","6,505",31%,"13,403,523",642,172
40141,Tillman,1,14.132279999999998,7076:1,1.103749422,0.2808543924,0.22 to 0.56,0.5516858093,0.47 to 0.75,"7,076","2,838",40%,"9,804,173","1,386",288
40143,Tulsa,709,105.37142,949:1,-1.413191826,-0.050408471,-0.1 to 0.21,-0.19204359,-0.22 to 0,"672,858","216,880",32%,"964,030,874","1,433",370
40145,Wagoner,23,27.36466,3654:1,0.7387181597,-0.226678999,-0.4 to -0.11,0.0116225326,0 to 0.23,"84,050","20,036",24%,"90,920,399","1,082",378
40147,Washington,23,43.58372,2294:1,0.2912960446,0.0144999815,-0.1 to 0.21,-0.023720844,-0.22 to 0,"52,772","16,727",32%,"90,494,600","1,715",451
40149,Washita,3,27.48511,3638:1,0.7353954475,0.1403595371,-0.1 to 0.21,0.2623422635,0.23 to 0.47,"10,915","3,842",35%,"17,217,623","1,577",373
40151,Woods,5,58.25469,1717:1,-0.113420316,-0.297214355,-0.4 to -0.11,-0.234553017,-0.44 to -0.22,"8,583","2,050",24%,"8,113,292",945,330
40153,Woodward,6,29.695619999999998,3368:1,0.6744159372,0.0304679558,-0.1 to 0.21,0.1674644012,0 to 0.23,"20,205","6,067",30%,"20,416,540","1,010",280
